Team name,Submission Time,Top-1 hr,Top-3 hr,Top-5 hr,Score@SIM,Score@REAL,Overall Score
水水水,2025-02-05(10AM)(1),0.2750,0.4683,0.5717,0.5889,0.3380,0.4383
DummyAgent,2025-02-06(10AM)(1),0.2750,0.4467,0.5733,0.6167,0.3083,0.4317
RecHackers,2025-02-06(10AM)(2),0.2383,0.4500,0.5983,0.5694,0.3352,0.4289
ycwfs666,2025-02-06(10AM)(3),0.0317,0.0750,0.1250,0.1278,0.0435,0.0772
FollowSen,2025-02-06(10AM)(3),0.2167,0.3733,0.4867,0.5625,0.2231,0.3589
cigit-shi,2025-02-06(10AM)(1),0.2600,0.4617,0.5983,0.5875,0.3417,0.4400
tsdxgxxb,2025-02-06(10AM)(1),0.2417,0.4217,0.5400,0.6014,0.2676,0.4011
yoyo_agent,2025-02-06(10AM)(3),0.2183,0.3967,0.4833,0.5569,0.2389,0.3661
GPU is all your need,2025-02-06(10AM)(2),0.2467,0.4633,0.6083,0.6069,0.3278,0.4394
DummyAgent,2025-02-06(10AM)(3),0.2633,0.4400,0.5667,0.6375,0.2806,0.4233
100%Hit,2025-02-06(10AM)(2),0.2033,0.4000,0.5167,0.5153,0.2787,0.3733
100%Hit,2025-02-06(10AM)(1),0.2117,0.4317,0.5683,0.5431,0.3111,0.4039
DummyAgent,2025-02-06(10AM)(2),0.2550,0.4017,0.5450,0.6236,0.2519,0.4006
baseline666,2025-02-07(10AM)(3),0.2950,0.4767,0.6117,0.6514,0.3343,0.4611
tsdxgxxb,2025-02-07(10AM)(3),0.2433,0.4233,0.5500,0.5986,0.2769,0.4056
SSSmith,2025-02-07(10AM)(2),0.2400,0.4333,0.5600,0.6111,0.2778,0.4111
baseline666,2025-02-07(10AM)(1),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DummyAgent,2025-02-07(10AM)(3),0.2683,0.4517,0.5783,0.6431,0.2926,0.4328
SSSmith,2025-02-07(10AM)(1),0.2383,0.4250,0.5517,0.6028,0.2731,0.4050
SSSmith,2025-02-07(10AM)(3),0.2467,0.4417,0.5683,0.6264,0.2806,0.4189
tsdxgxxb,2025-02-07(10AM)(1),0.2483,0.4383,0.5600,0.6083,0.2870,0.4156
DummyAgent,2025-02-07(10AM)(1),0.2733,0.4583,0.5867,0.6389,0.3065,0.4394
水水水,2025-02-07(10AM)(1),0.2750,0.4600,0.5783,0.5944,0.3333,0.4378
DummyAgent,2025-02-07(10AM)(2),0.2633,0.4367,0.5633,0.6056,0.2981,0.4211
yoyo_agent,2025-02-07(10AM)(2),0.2083,0.3850,0.4783,0.5528,0.2269,0.3572
yoyo_agent,2025-02-07(10AM)(1),0.1667,0.3533,0.4700,0.4181,0.2713,0.3300
tsdxgxxb,2025-02-07(10AM)(2),0.2450,0.4283,0.5533,0.5986,0.2824,0.4089
baseline666,2025-02-07(10AM)(2),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
yoyo_agent,2025-02-07(10AM)(3),0.2200,0.4117,0.5050,0.5889,0.2389,0.3789
水水水,2025-02-07(10AM)(3),0.2550,0.4583,0.5600,0.5819,0.3194,0.4244
水水水,2025-02-07(10AM)(2),0.2583,0.4567,0.5933,0.5903,0.3333,0.4361
yoyo_agent,2025-02-08(10AM)(3),0.2300,0.4100,0.5267,0.5986,0.2491,0.3889
yoyo_agent,2025-02-08(10AM)(1),0.2300,0.4067,0.5150,0.5819,0.2519,0.3839
SSSmith,2025-02-08(10AM)(1),0.2450,0.4367,0.5800,0.5986,0.3019,0.4206
GPU is all your need,2025-02-08(10AM)(2),0.2583,0.4533,0.6033,0.6014,0.3296,0.4383
DummyAgent,2025-02-08(10AM)(3),0.1817,0.3833,0.5300,0.4625,0.3000,0.3650
GPU is all your need,2025-02-08(10AM)(1),0.2533,0.4633,0.6150,0.6056,0.3361,0.4439
GPU is all your need,2025-02-08(10AM)(3),0.2567,0.4533,0.6067,0.5986,0.3324,0.4389
SSSmith,2025-02-08(10AM)(2),0.2367,0.4583,0.5533,0.6069,0.2889,0.4161
RecHackers,2025-02-08(10AM)(3),0.2667,0.5033,0.6350,0.6417,0.3528,0.4683
DummyAgent,2025-02-08(10AM)(1),0.1717,0.3867,0.5433,0.4597,0.3056,0.3672
tsdxgxxb,2025-02-08(10AM)(1),0.2333,0.4167,0.5467,0.5819,0.2769,0.3989
RecHackers,2025-02-08(10AM)(2),0.2683,0.4833,0.6100,0.6236,0.3407,0.4539
RecHackers,2025-02-08(10AM)(1),0.2650,0.4667,0.6167,0.6125,0.3407,0.4494
ycwfs666,2025-02-08(10AM)(1),0.0417,0.0883,0.1333,0.1444,0.0500,0.0878
DummyAgent,2025-02-08(10AM)(2),0.2983,0.4783,0.6250,0.6250,0.3620,0.4672
baseline666,2025-02-08(10AM)(3),0.2883,0.4650,0.5917,0.6208,0.3333,0.4483
baseline666,2025-02-08(10AM)(2),0.1583,0.2767,0.3683,0.3667,0.2019,0.2678
baseline666,2025-02-08(10AM)(1),0.2650,0.4700,0.5950,0.6111,0.3315,0.4433
GPU is all your need,2025-02-09(10AM)(1),0.2733,0.4467,0.5933,0.6056,0.3259,0.4378
DummyAgent,2025-02-09(10AM)(1),0.2867,0.4567,0.5950,0.6097,0.3370,0.4461
RecHackers,2025-02-09(10AM)(2),0.2300,0.4450,0.5767,0.5625,0.3204,0.4172
baseline666,2025-02-09(10AM)(3),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
yoyo_agent,2025-02-09(10AM)(3),0.1850,0.3917,0.5067,0.4347,0.3120,0.3611
GPU is all your need,2025-02-09(10AM)(2),0.2667,0.4683,0.6050,0.6028,0.3426,0.4467
GPU is all your need,2025-02-09(10AM)(3),0.2167,0.3700,0.4867,0.3819,0.3417,0.3578
baseline666,2025-02-09(10AM)(1),0.1867,0.3067,0.3933,0.4222,0.2111,0.2956
BrainNotFound404,2025-02-09(10AM)(2),0.2683,0.4783,0.5883,0.5958,0.3444,0.4450
100%Hit,2025-02-09(10AM)(1),0.2183,0.4100,0.5350,0.5639,0.2704,0.3878
yoyo_agent,2025-02-09(10AM)(2),0.2583,0.4233,0.5300,0.6319,0.2519,0.4039
DummyAgent,2025-02-09(10AM)(2),0.2683,0.4533,0.5800,0.5931,0.3278,0.4339
UniqueData,2025-02-10(10AM)(3),0.1283,0.2567,0.3233,0.3514,0.1593,0.2361
baseline666,2025-02-10(10AM)(3),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SSSmith,2025-02-10(10AM)(2),0.2633,0.4417,0.5717,0.6208,0.2954,0.4256
baseline666,2025-02-10(10AM)(1),0.1883,0.3033,0.4000,0.4292,0.2093,0.2972
UniqueData,2025-02-10(10AM)(1),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
RecHackers,2025-02-10(10AM)(2),0.2717,0.4900,0.6083,0.6403,0.3343,0.4567
DummyAgent,2025-02-10(10AM)(3),0.2950,0.4750,0.6167,0.6236,0.3546,0.4622
SSSmith,2025-02-10(10AM)(1),0.2583,0.4467,0.5650,0.6111,0.2981,0.4233
tsdxgxxb,2025-02-10(10AM)(1),0.2100,0.4033,0.5383,0.5444,0.2769,0.3839
BrainNotFound404,2025-02-10(10AM)(1),0.2317,0.4200,0.5383,0.5694,0.2815,0.3967
DummyAgent,2025-02-10(10AM)(1),0.2517,0.4017,0.5117,0.4528,0.3454,0.3883
BrainNotFound404,2025-02-11(10AM)(3),0.2383,0.4650,0.5933,0.5750,0.3370,0.4322
Open-ZI,2025-02-11(10AM)(3),0.2900,0.4717,0.5950,0.6319,0.3324,0.4522
Open-ZI,2025-02-11(10AM)(1),0.2833,0.4633,0.5917,0.6236,0.3278,0.4461
baseline666,2025-02-11(10AM)(3),0.3017,0.4933,0.6200,0.6681,0.3407,0.4717
tsdxgxxb,2025-02-11(10AM)(3),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SSSmith,2025-02-11(10AM)(2),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
baseline666,2025-02-11(10AM)(1),0.3033,0.4833,0.6133,0.6597,0.3380,0.4667
GPU is all your need,2025-02-11(10AM)(3),0.2833,0.4750,0.5917,0.6681,0.3046,0.4500
RecHackers,2025-02-11(10AM)(2),0.2550,0.4917,0.6300,0.5931,0.3694,0.4589
DummyAgent,2025-02-11(10AM)(3),0.2567,0.4450,0.5833,0.6000,0.3139,0.4283
Open-ZI,2025-02-11(10AM)(2),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100%Hit,2025-02-11(10AM)(2),0.2200,0.4267,0.5400,0.5653,0.2824,0.3956
yoyo_agent,2025-02-11(10AM)(1),0.0133,0.0167,0.0167,0.0389,0.0000,0.0156
tsdxgxxb,2025-02-11(10AM)(2),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
baseline666,2025-02-11(10AM)(2),0.2867,0.4867,0.6067,0.6472,0.3352,0.4600
yoyo_agent,2025-02-11(10AM)(3),0.0167,0.0183,0.0200,0.0458,0.0000,0.0183
GPU is all your need,2025-02-11(10AM)(1),0.2817,0.4700,0.5950,0.6431,0.3194,0.4489
100%Hit,2025-02-11(10AM)(1),0.2333,0.4217,0.5350,0.5208,0.3139,0.3967
RecHackers,2025-02-11(10AM)(1),0.2100,0.3583,0.4317,0.6139,0.1463,0.3333
BrainNotFound404,2025-02-11(10AM)(2),0.1433,0.3000,0.4083,0.5042,0.1370,0.2839
GPU is all your need,2025-02-11(10AM)(2),0.2583,0.4550,0.5933,0.6347,0.3028,0.4356
ycwfs666,2025-02-12(10AM)(1),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
yoyo_agent,2025-02-12(10AM)(2),0.2233,0.4083,0.5383,0.5861,0.2593,0.3900
yoyo_agent,2025-02-12(10AM)(1),0.2100,0.4067,0.5267,0.5736,0.2528,0.3811
yoyo_agent,2025-02-12(10AM)(3),0.2350,0.4283,0.5517,0.6181,0.2630,0.4050
Open-ZI,2025-02-12(10AM)(1),0.2217,0.3933,0.5200,0.5222,0.2824,0.3783
baseline666,2025-02-12(10AM)(3),0.3100,0.4850,0.6250,0.6639,0.3463,0.4733
SSSmith,2025-02-12(10AM)(2),0.2483,0.4367,0.5550,0.6000,0.2889,0.4133
baseline666,2025-02-12(10AM)(1),0.2567,0.4350,0.5800,0.6111,0.2991,0.4239
UniqueData,2025-02-12(10AM)(1),0.2233,0.4217,0.5283,0.5611,0.2778,0.3911
GPU is all your need,2025-02-12(10AM)(3),0.2683,0.4500,0.6100,0.6181,0.3259,0.4428
RecHackers,2025-02-12(10AM)(2),0.2767,0.4783,0.6283,0.6347,0.3454,0.4611
DummyAgent,2025-02-12(10AM)(3),0.2733,0.4650,0.6217,0.6139,0.3463,0.4533
SSSmith,2025-02-12(10AM)(1),0.2500,0.4300,0.5583,0.6097,0.2815,0.4128
100%Hit,2025-02-12(10AM)(2),0.2050,0.4083,0.5367,0.5056,0.3019,0.3833
pp,2025-02-12(10AM)(1),0.2300,0.4567,0.6083,0.5931,0.3241,0.4317
pp,2025-02-12(10AM)(2),0.2233,0.4367,0.5667,0.5278,0.3296,0.4089
pp,2025-02-12(10AM)(3),0.2350,0.4683,0.6083,0.5542,0.3593,0.4372
tsdxgxxb,2025-02-12(10AM)(1),0.2400,0.4000,0.4850,0.5056,0.2880,0.3750
BrainNotFound404,2025-02-12(10AM)(1),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DummyAgent,2025-02-12(10AM)(1),0.2617,0.4600,0.6133,0.6000,0.3417,0.4450
DummyAgent,2025-02-12(10AM)(2),0.2683,0.4600,0.6133,0.6458,0.3148,0.4472
tsdxgxxb,2025-02-12(10AM)(2),0.2467,0.4067,0.5350,0.5917,0.2657,0.3961
baseline666,2025-02-12(10AM)(2),0.3067,0.4817,0.6000,0.6639,0.3287,0.4628
UniqueData,2025-02-12(10AM)(2),0.2717,0.4950,0.6100,0.6444,0.3352,0.4589
GPU is all your need,2025-02-12(10AM)(1),0.2783,0.4700,0.6067,0.6639,0.3102,0.4517
100%Hit,2025-02-12(10AM)(1),0.1950,0.4017,0.5417,0.5083,0.2935,0.3794
cigit-shi,2025-02-12(10AM)(3),0.2383,0.4250,0.5450,0.5139,0.3287,0.4028
RecHackers,2025-02-12(10AM)(1),0.2667,0.4817,0.6250,0.6125,0.3546,0.4578
BrainNotFound404,2025-02-12(10AM)(2),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cigit-shi,2025-02-12(10AM)(2),0.2267,0.3933,0.5067,0.5306,0.2722,0.3756
GPU is all your need,2025-02-12(10AM)(2),0.2900,0.4817,0.6100,0.6819,0.3130,0.4606
Open-ZI,2025-02-13(10AM)(1),0.2167,0.4000,0.5383,0.5333,0.2861,0.3850
baseline666,2025-02-13(10AM)(3),0.2617,0.4300,0.5617,0.6111,0.2889,0.4178
baseline666,2025-02-13(10AM)(1),0.3050,0.4900,0.6283,0.6722,0.3426,0.4744
GPU is all your need,2025-02-13(10AM)(3),0.2867,0.4817,0.6117,0.6736,0.3176,0.4600
RecHackers,2025-02-13(10AM)(2),0.1850,0.4233,0.5500,0.5486,0.2778,0.3861
DummyAgent,2025-02-13(10AM)(3),0.2783,0.4600,0.5950,0.6264,0.3231,0.4444
cigit-shi,2025-02-13(10AM)(1),0.2167,0.4017,0.5233,0.5236,0.2852,0.3806
100%Hit,2025-02-13(10AM)(2),0.2117,0.4200,0.5417,0.5361,0.2944,0.3911
BrainNotFound404,2025-02-13(10AM)(1),0.2517,0.4767,0.6067,0.6000,0.3417,0.4450
DummyAgent,2025-02-13(10AM)(1),0.2950,0.4783,0.6200,0.6250,0.3574,0.4644
DummyAgent,2025-02-13(10AM)(2),0.2983,0.4550,0.5917,0.6514,0.3130,0.4483
baseline666,2025-02-13(10AM)(2),0.2450,0.4000,0.5183,0.5986,0.2472,0.3878
GPU is all your need,2025-02-13(10AM)(1),0.2783,0.4800,0.6017,0.6569,0.3176,0.4533
100%Hit,2025-02-13(10AM)(1),0.2300,0.4200,0.5600,0.5694,0.2926,0.4033
cigit-shi,2025-02-13(10AM)(3),0.2317,0.4433,0.5767,0.5653,0.3185,0.4172
RecHackers,2025-02-13(10AM)(1),0.2567,0.4617,0.6017,0.5903,0.3398,0.4400
BrainNotFound404,2025-02-13(10AM)(2),0.2567,0.4650,0.6100,0.5875,0.3481,0.4439
cigit-shi,2025-02-13(10AM)(2),0.2017,0.3867,0.5233,0.5139,0.2750,0.3706
GPU is all your need,2025-02-13(10AM)(2),0.2900,0.4733,0.5950,0.6528,0.3194,0.4528
UniqueData,2025-02-13(10AM)(1),0.2717,0.4833,0.6083,0.6278,0.3389,0.4544
RecHackers,2025-02-13(10AM)(3),0.2550,0.4733,0.5933,0.5903,0.3407,0.4406
yoyo_agent,2025-02-13(10AM)(2),0.2217,0.4133,0.5450,0.5986,0.2565,0.3933
yoyo_agent,2025-02-13(10AM)(1),0.2300,0.4367,0.5750,0.5889,0.2972,0.4139
UniqueData,2025-02-13(10AM)(2),0.2250,0.4017,0.5000,0.5792,0.2398,0.3756
baseline666,2025-02-13(8PM)(1),0.2983,0.4800,0.6283,0.6722,0.3426,0.4717
baseline666,2025-02-13(8PM)(2),0.2433,0.3950,0.5183,0.5986,0.2472,0.3867
baseline666,2025-02-13(8PM)(3),0.2633,0.4283,0.5583,0.6111,0.2889,0.4172
DummyAgent,2025-02-13(8PM)(1),0.2933,0.4683,0.6183,0.6250,0.3574,0.4622
DummyAgent,2025-02-13(8PM)(2),0.3033,0.4583,0.5967,0.6514,0.3130,0.4506
DummyAgent,2025-02-13(8PM)(3),0.2733,0.4617,0.5867,0.6264,0.3231,0.4425
Open-ZI,2025-02-13(8PM)(1),0.2183,0.4067,0.5433,0.5333,0.2861,0.3872
pp,2025-02-13(8PM)(1),0.2250,0.4017,0.5000,0.5792,0.2398,0.3756
pp,2025-02-13(8PM)(2),0.2250,0.4017,0.5000,0.5792,0.2398,0.3756
pp,2025-02-13(8PM)(3),0.2250,0.4017,0.5000,0.5792,0.2398,0.3756
RecHackers,2025-02-13(8PM)(1),0.2567,0.4600,0.5933,0.5903,0.3398,0.4383
RecHackers,2025-02-13(8PM)(2),0.1800,0.4150,0.5550,0.5486,0.2778,0.3847
RecHackers,2025-02-13(8PM)(3),0.2517,0.4633,0.5900,0.5903,0.3407,0.4378
SSSmith,2025-02-13(8PM)(1),0.2500,0.4300,0.5583,0.6097,0.2815,0.4128
SSSmith,2025-02-13(8PM)(2),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
tsdxgxxb,2025-02-13(8PM)(1),0.2250,0.4017,0.5000,0.5792,0.2398,0.3756
tsdxgxxb,2025-02-13(8PM)(2),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
tsdxgxxb,2025-02-13(8PM)(3),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UniqueData,2025-02-13(8PM)(1),0.2667,0.4850,0.6167,0.6278,0.3389,0.4553
UniqueData,2025-02-13(8PM)(2),0.2233,0.3933,0.5017,0.5792,0.2398,0.3742
yoyo_agent,2025-02-13(8PM)(2),0.2250,0.4350,0.5833,0.5889,0.2972,0.4203
yoyo_agent,2025-02-13(8PM)(1),0.2567,0.4350,0.5800,0.6111,0.2991,0.4239
