Team name,Submission Time,Top-1 hr,Top-3 hr,Top-5 hr,Overall hr
AXI,2025-01-20,0.1550,0.3817,0.5267,0.3544
Augent,2025-01-20,0.0533,0.2450,0.4050,0.2344
Open-ZI,2025-01-20,0.3267,0.5567,0.6983,0.5272
have no idea,2025-01-20,0.0533,0.2467,0.4067,0.2356
JiuWen,2025-01-20,0.0200,0.1900,0.3583,0.1894
Lie Flat Champion ,2025-01-20,0.3650,0.6067,0.7317,0.5678
Fang-main,2025-01-20,0.2533,0.5817,0.7400,0.5250
SleePy,2025-01-20,0.0367,0.2383,0.4083,0.2278
Ybigta_DS,2025-01-20,0.4333,0.6500,0.7467,0.6100
tsdxgxxb,2025-01-20,0.3867,0.6200,0.7233,0.5767
Santiago,2025-01-21,0.0533,0.2400,0.4050,0.2328
FollowSen,2025-01-21,0.3817,0.6067,0.7000,0.5628
tsdxgxxb,2025-01-21,0.4150,0.6400,0.7300,0.5950
Open-ZI,2025-01-21,0.4317,0.6517,0.7450,0.6094
胖头大队,2025-01-21,0.4367,0.6517,0.7467,0.6117
DummyAgent,2025-01-21,0.3983,0.6433,0.7417,0.5944
Lie Flat Champion ,2025-01-21,0.3450,0.5867,0.7183,0.5500
AlexAgent,2025-01-21,0.0000,0.0000,0.0000,0.0000
baseline666,2025-01-21,0.4483,0.6567,0.7483,0.6178
100%Hit,2025-01-22,0.3850,0.5983,0.6983,0.5606
CBA,2025-01-22,0.4450,0.6483,0.7483,0.6139
FollowSen,2025-01-22,0.3117,0.5250,0.6500,0.4956
tsdxgxxb,2025-01-22,0.4100,0.6317,0.7367,0.5928
ACDC,2025-01-22,0.3317,0.5300,0.6333,0.4983
Open-ZI,2025-01-22,0.4367,0.6433,0.7417,0.6072
RankMe,2025-01-22,0.2833,0.6300,0.6950,0.5361
WorkHard!,2025-01-22,0.0550,0.2383,0.3950,0.2294
JustRec,2025-01-22,0.0900,0.2650,0.4133,0.2561
brian空空,2025-01-22,0.1817,0.3850,0.5833,0.3833
GPU is all your need,2025-01-22,0.4217,0.6517,0.7500,0.6078
baseline666,2025-01-22,0.4167,0.6317,0.7383,0.5956
SleePy,2025-01-22,0.4117,0.6483,0.7400,0.6000
Sociable,2025-01-22,0.4317,0.6483,0.7683,0.6161
Lie Flat Champion ,2025-01-22,0.3133,0.5917,0.7283,0.5444
RecHackers,2025-01-22,0.4317,0.6333,0.7217,0.5956
baseline666,2025-01-23,0.4550,0.6967,0.7883,0.6467
CBA,2025-01-23,0.4417,0.6417,0.7467,0.6100
3095,2025-01-23,0.2383,0.5350,0.6750,0.4828
DummyAgent,2025-01-23,0.4333,0.6367,0.7400,0.6033
Fang-main,2025-01-23,0.2583,0.5600,0.7033,0.5072
GPU is all your need,2025-01-23,0.1683,0.4400,0.5800,0.3961
JLU LLM AGENT,2025-01-23,0.0533,0.2483,0.4083,0.2367
Open-ZI,2025-01-23,0.4583,0.6717,0.7483,0.6261
Lie Flat Champion ,2025-01-23,0.3350,0.6017,0.7217,0.5528
qiubi,2025-01-23,0.3233,0.5400,0.6300,0.4978
SleePy,2025-01-23,0.3600,0.6200,0.7000,0.5600
SSSmith,2025-01-23,0.4450,0.6533,0.7450,0.6144
tsdxgxxb,2025-01-23,0.4067,0.6483,0.7517,0.6022
Sociable,2025-01-23,0.4250,0.6533,0.7917,0.6233
水水水,2025-01-23,0.4333,0.6533,0.7483,0.6117
启程,2025-01-23,0.0000,0.0000,0.0000,0.0000
JLU LLM AGENT,2025-01-24,0.0567,0.2400,0.4167,0.2378
DummyAgent,2025-01-24,0.4300,0.6433,0.7600,0.6111
SleePy,2025-01-24,0.0000,0.0000,0.0000,0.0000
GPU is all your need,2025-01-24,0.3883,0.6317,0.7283,0.5828
pp,2025-01-24,0.3750,0.5767,0.6867,0.5461
qiubi,2025-01-24,0.3150,0.5033,0.5933,0.4706
LUCKG,2025-01-24,0.3233,0.4750,0.5417,0.4467
逛一圈,2025-01-24,0.3633,0.5733,0.6933,0.5433
baseline666,2025-01-24,0.3933,0.6217,0.7267,0.5806
SSSmith,2025-01-24,0.4417,0.6517,0.7317,0.6083
RecHackers,2025-01-24,0.4283,0.6767,0.7783,0.6278
qqqq,2025-01-24,0.1717,0.3633,0.5717,0.3689
Lie Flat Champion ,2025-01-24,0.3450,0.5950,0.7300,0.5567
胖头大队,2025-01-24,0.0000,0.0000,0.0000,0.0000
谭湘文,2025-01-24,0.4350,0.6350,0.7267,0.5989
tsdxgxxb,2025-01-24,0.3700,0.6183,0.7350,0.5744
try2try,2025-01-24,0.1767,0.3750,0.5850,0.3789
100%Hit,2025-01-25,0.2617,0.3800,0.4467,0.3628
一二三四,2025-01-25,0.0533,0.2450,0.4067,0.2350
Augent,2025-01-25,0.0000,0.0000,0.0000,0.0000
伸腿瞪眼丸,2025-01-25,0.1850,0.4183,0.5467,0.3833
tsdxgxxb,2025-01-25,0.2050,0.4250,0.5683,0.3994
cigit-shi,2025-01-25,0.3567,0.5817,0.6883,0.5422
LiLaiLai,2025-01-25,0.3800,0.6133,0.7350,0.5761
SSSmith,2025-01-25,0.4417,0.6500,0.7467,0.6128
GPU is all your need,2025-01-25,0.4250,0.6633,0.7817,0.6233
baseline666,2025-01-25,0.4633,0.6850,0.7683,0.6389
DummyAgent,2025-01-25,0.4283,0.6517,0.7683,0.6161
Chengze Li,2025-01-25,0.2033,0.4550,0.6100,0.4228
RecHackers,2025-01-25,0.2950,0.5517,0.6800,0.5089
baseline666,2025-01-26,0.4650,0.6933,0.7817,0.6467
Chengze Li,2025-01-26,0.2233,0.4567,0.5967,0.4256
bemchmark,2025-01-26,0.1483,0.3517,0.5417,0.3472
DummyAgent,2025-01-26,0.4200,0.6400,0.7550,0.6050
Fang-main,2025-01-26,0.3083,0.5400,0.6883,0.5122
GPU is all your need,2025-01-26,0.3900,0.6283,0.7317,0.5833
tsdxgxxb,2025-01-26,0.4367,0.6517,0.7517,0.6133
Team Name,2025-01-26,0.0950,0.1700,0.2083,0.1578
逛一圈,2025-01-26,0.3133,0.5817,0.7050,0.5333
启程,2025-01-26,0.1817,0.3850,0.5833,0.3833
Augent,2025-01-27,0.0433,0.0700,0.0817,0.0650
SleePy,2025-01-27,0.0850,0.1550,0.1750,0.1383
GPU is all your need,2025-01-27,0.1083,0.1767,0.2233,0.1694
pp,2025-01-27,0.1217,0.1900,0.2150,0.1756
LiLaiLai,2025-01-27,0.1150,0.1783,0.2217,0.1717
LUCKG,2025-01-27,0.2783,0.4550,0.5517,0.4283
YoYo Agent,2025-01-27,0.2300,0.4233,0.5150,0.3894
100%Hit,2025-01-27,0.2300,0.3400,0.4100,0.3267
bemchmark,2025-01-27,0.1617,0.3533,0.5217,0.3456
itnlp606,2025-01-27,0.0700,0.2233,0.3717,0.2217
cigit-shi,2025-01-27,0.3367,0.5383,0.6350,0.5033
Chengze Li,2025-01-27,0.1967,0.3850,0.5117,0.3644
CRSAgent,2025-01-27,0.0617,0.1900,0.3317,0.1944
胖头大队,2025-01-27,0.2833,0.4733,0.5700,0.4422
tsdxgxxb,2025-01-27,0.3450,0.5450,0.6500,0.5133
100%Hit,2025-01-28,0.3767,0.5467,0.6550,0.5261
LUCKG,2025-01-28,0.3000,0.5083,0.6433,0.4839
水水水,2025-01-28,0.1733,0.2317,0.2617,0.2222
启程,2025-01-28,0.0000,0.0000,0.0000,0.0000
BrainNotFound404,2025-01-28,0.4100,0.6033,0.7000,0.5711
Ybigta_DS,2025-01-28,0.1683,0.3817,0.5450,0.3650
pp,2025-01-28,0.3700,0.6067,0.7183,0.5650
3095,2025-01-28,0.3050,0.5417,0.6917,0.5128
cigit-shi,2025-01-28,0.3533,0.5767,0.6883,0.5394
DummyAgent,2025-01-28,0.4250,0.6483,0.7617,0.6117
Chengze Li,2025-01-28,0.1967,0.4050,0.5300,0.3772
RecHackers,2025-01-28,0.3833,0.5933,0.6933,0.5567
100%Hit,2025-01-29,0.4033,0.6250,0.7217,0.5833
Chengze Li,2025-01-29,0.1700,0.4200,0.5617,0.3839
Cupes-IAIS,2025-01-29,0.0533,0.2433,0.4067,0.2344
LiLaiLai,2025-01-29,0.4100,0.6400,0.7600,0.6033
GPU is all your need,2025-01-29,0.3850,0.6250,0.7350,0.5817
RecHackers,2025-01-29,0.4433,0.6583,0.7433,0.6150
tsdxgxxb,2025-01-29,0.3967,0.6283,0.7433,0.5894
LUCKG,2025-01-29,0.2833,0.4833,0.5667,0.4444
Ybigta_DS(2),2025-01-29,0.1667,0.3567,0.4917,0.3383
水水水,2025-01-29,0.4350,0.6517,0.7467,0.6111
启程,2025-01-29,0.0000,0.0000,0.0000,0.0000
打哈哈,2025-01-29,0.4100,0.6417,0.7600,0.6039
这次能出结果么,2025-01-29,0.3967,0.6483,0.7600,0.6017
RankMe,2025-01-30,0.0683,0.1300,0.2017,0.1333
DummyAgent,2025-01-30,0.2733,0.4750,0.6400,0.4628
GPU is all your need,2025-01-30,0.1133,0.1983,0.2467,0.1861
水水水,2025-01-30,0.1300,0.2283,0.2617,0.2067
BrainNotFound404,2025-01-30,0.3317,0.5667,0.6583,0.5189
LUCKG,2025-01-30,0.2300,0.4400,0.5400,0.4033
Ybigta_DS(2),2025-01-30,0.0900,0.1400,0.1650,0.1317
胖头大队,2025-01-30,0.0633,0.1233,0.1550,0.1139
tsdxgxxb,2025-01-30,0.1067,0.1650,0.1950,0.1556
100%Hit,2025-01-31,0.3900,0.5917,0.6850,0.5556
LUCKG,2025-01-31,0.3133,0.4617,0.5783,0.4511
Ybigta_DS(2),2025-01-31,0.3000,0.5050,0.6183,0.4744
水水水,2025-01-31,0.4217,0.6333,0.7350,0.5967
ycwfs666,2025-01-31,0.4033,0.6067,0.7283,0.5794
CBA,2025-01-31,0.4250,0.6550,0.7950,0.6250
伸腿瞪眼丸,2025-01-31,0.2550,0.5100,0.6467,0.4706
打哈哈,2025-01-31,0.3817,0.6150,0.7183,0.5717
ycwfs,2025-01-31,0.0983,0.2783,0.4150,0.2639
GPU is all your need,2025-01-31,0.3667,0.5850,0.7067,0.5528
111,2025-01-31,0.3733,0.6083,0.7233,0.5683
