Team name,Submission Time,Preference Estimation,Review Generation,Overall Quality
qia0gonow,2025-01-27,0.5300,0.6978,0.6139
jw,2025-01-27,0.8990,0.9064,0.9027
WiseAgents,2025-01-27,0.8752,0.8197,0.8474
ASC,2025-01-27,0.9033,0.9060,0.9047
Santiago,2025-01-27,0.8475,0.8914,0.8695
IE-GENE,2025-01-27,0.8394,0.8671,0.8533
这点预算我很难做队,2025-01-27,0.3127,0.6056,0.4591
ustc-666,2025-01-27,0.8737,0.8903,0.8820
DummyAgent,2025-01-27,0.8603,0.7446,0.8025
Big Watermelon Team,2025-01-27,0.8053,0.8747,0.8400
zzzzzm,2025-01-27,0.3127,0.6056,0.4591
Agent42,2025-01-27,0.8762,0.8889,0.8825
SDU-AI,2025-01-27,0.8741,0.8708,0.8725
伸腿瞪眼丸,2025-01-27,0.8795,0.8964,0.8879
one!,2025-01-27,0.8761,0.8516,0.8639
MagicAgent3,2025-01-27,0.8460,0.8770,0.8615
Agent42,2025-01-28,0.8737,0.8911,0.8824
打哈哈,2025-01-28,0.7912,0.8721,0.8316
tt_refugee,2025-01-28,0.8968,0.9053,0.9011
qia1gonow,2025-01-28,0.8207,0.8096,0.8151
Sociable,2025-01-28,0.8393,0.6056,0.7224
Cavaliers_Baseline,2025-01-28,0.8057,0.8552,0.8304
伸腿瞪眼丸,2025-01-28,0.8817,0.8964,0.8890
ustc-agent,2025-01-28,0.8807,0.8969,0.8888
JiuWen,2025-01-28,0.9015,0.9042,0.9028
ASC,2025-01-28,0.7363,0.8114,0.7739
jw,2025-01-28,0.8918,0.9055,0.8987
SDU-AI,2025-01-28,0.8827,0.8772,0.8799
MINE-AGENT,2025-01-28,0.7727,0.8602,0.8164
这点预算我很难做队,2025-01-28,0.3127,0.6056,0.4591
try1try,2025-01-28,0.6950,0.7832,0.7391
DummyAgent,2025-01-28,0.8767,0.8914,0.8840
pp,2025-01-28,0.7958,0.8647,0.8303
何解？和解！,2025-01-28,0.7407,0.8115,0.7761
锐欣咖啡,2025-01-29,0.8130,0.8856,0.8493
qia1gonow,2025-01-29,0.8300,0.8696,0.8498
xijiangyue,2025-01-29,0.7798,0.7107,0.7452
AgentZL,2025-01-29,0.3127,0.6056,0.4591
JiuWen,2025-01-29,0.8910,0.8973,0.8941
jw,2025-01-29,0.8538,0.9081,0.8810
CRUISE,2025-01-29,0.8770,0.8859,0.8814
CYZZZ,2025-01-29,0.8312,0.5496,0.6904
Santiago,2025-01-29,0.8522,0.8909,0.8715
这点预算我很难做队,2025-01-29,0.8180,0.5565,0.6873
ustc-agent,2025-01-29,0.8827,0.8969,0.8898
何解？和解！,2025-01-29,0.9130,0.9047,0.9089
Agent42,2025-01-29,0.8753,0.8937,0.8845
伸腿瞪眼丸,2025-01-29,0.8778,0.8961,0.8870
锐欣咖啡,2025-01-30,0.8173,0.6972,0.7573
qia1gonow,2025-01-30,0.7875,0.7679,0.7777
AgentFlow,2025-01-30,0.8137,0.8772,0.8455
AgentZL,2025-01-30,0.8173,0.8777,0.8475
XDU309,2025-01-30,0.8383,0.8900,0.8641
CRSAgent,2025-01-30,0.8698,0.8809,0.8753
MoAgent,2025-01-30,0.8073,0.8851,0.8462
CRUISE,2025-01-30,0.8803,0.8910,0.8857
CYZZZ,2025-01-30,0.8288,0.8854,0.8571
这点预算我很难做队,2025-01-30,0.3127,0.6056,0.4591
Sunshine,2025-01-30,0.8427,0.8789,0.8608
zzzzzm,2025-01-30,0.3127,0.6056,0.4591
Agent42,2025-01-30,0.8577,0.8874,0.8725
CBA,2025-01-30,0.8627,0.8847,0.8737
one!,2025-01-31,0.8829,0.8777,0.8803
锐欣咖啡,2025-01-31,0.8493,0.8874,0.8684
SDU-AI,2025-01-31,0.8807,0.8765,0.8786
Sociable,2025-01-31,0.8813,0.8901,0.8857
伸腿瞪眼丸,2025-01-31,0.8815,0.8980,0.8898
CBA,2025-01-31,0.8493,0.7913,0.8203
伸腿瞪眼丸,2025-01-31,0.8855,0.9013,0.8934
Sndj,2025-01-31,0.8850,0.9016,0.8933
RankMe,2025-01-31,0.8455,0.8672,0.8563
JiuWen,2025-01-31,0.8947,0.9045,0.8996
ustc-agent,2025-01-31,0.8930,0.8944,0.8937
DummyAgent,2025-01-31,0.8853,0.8949,0.8901
何解？和解！,2025-01-31,0.8867,0.8920,0.8893
